שם,קטגוריה,תת-קטגוריה,אזור,גילאים,הקשר/ציטוט,מקור,טלפון_להוספה,אתר_להוספה
"גוני לוין (עין כרם)","אבחון והערכה","מאבחנת והדרכת הורים","עין כרם","all","האם מישהי מכירה את גוני לוין מעין כרם? לאבחון ולהדרכת הורים","m:920","",""
"ד""ר אורית יפה","אבחון והערכה","מאבחנת","ירושלים","all","פעם קורי שולמן אמרה לי שהיא סומכת על אורית יפה","m:923","",""
"ד""ר איגור ברש – פסיכיאטר מכבי","אבחון והערכה","פסיכיאטר","נס ציונה – מכבי","לא מפורט","בזמנו הלכנו לפסיכיאטר במכבי (נראה לי בנס ציונה) בשם ד""ר איגור ברש שהבנתי שהוא ממש מומחה בתחום.","chunk_019:j15677","",""
"ד""ר אקרמן","אבחון והערכה","רופאה","","all","הצלחנו מאוד עם ד""ר אקרמן, לא יודעת איפה היא מקבלת","m:1266","",""
"ד""ר אקשטיין","אבחון והערכה","התפתחות הילד / אבחון ASD","ירושלים","ילדים","ד""ר אקשטיין היא גם בהתפתחות הילד כללית, אולי זה שהיא גם בקופה יעזור","chunk_012 m:42171","",""
"ד""ר גולדנבאום","אבחון והערכה","פסיכולוגית/מאבחנת אוטיזם","לא צוין","ילדים ומתבגרים","היא מאבחנת מקצועית מאד והמטפלת הרגשית של הבת שלי. זו המומחיות שלה, היא ד'ר לאוטיזם.","chunk_009:m32604","",""
"ד""ר דגני נוירולוג","אבחון והערכה","נוירולוג ומאבחן קשב וריכוז","ירושלים, רמות","all","בעבר היינו אצל ד""ר דגני נוירולוג ומאבחן קשב וריכוז, מקצועי מאוד. היתה לו קליניקה בשכונת רמות","m:13991","",""
"ד""ר ז'אק אייזנברג","אבחון והערכה","פסיכיאטר ביטוח לאומי","ירושלים","לא צוין","מישהי היתה באבחון פסיכיאטרי בביטוח הלאומי אצל ז'אק אייזנברג ויכולה לומר איך היה?","chunk_015:m:53890","",""
"ד""ר טלי גב","אבחון והערכה","מאבחנת","","all","ד""ר טלי גב [ברשימת 20 המאבחנים]","m:6928","",""
"ד""ר טמיר אפשטיין","אבחון והערכה","פסיכיאטר","","all","ד""ר טמיר אפשטיין יכול לקבל אותנו רק בזום, והבן שלי מעדיף פנים אל פנים... נתן הרצאה עם קורי שולמן ב2021","m:13800","",""
"ד""ר טננבאום ז""ל","אבחון והערכה","פסיכיאטר/רופא מאבחן","מכון להתפתחות הילד","3-12","ד״ר טננבאום ז״ל שהיה יחד איתה באבחון היה מקסים... ד״ר טננבאום היה ממש ההיפך ממנה... אנושי, רגיש","m:856","",""
"ד""ר יהודה פולק","אבחון והערכה","מאבחן","","all","ד""ר יהודה פולק [ברשימת 20 המאבחנים של אלו""ט]","m:6928","",""
"ד""ר יונה קרוגר – נוירולוגית מאוחדת","אבחון והערכה","נוירולוגיה","ירושלים (קופ""ח מאוחדת)","ילדים","ד""ר יונה קרוגר ממאוחדת. אם מישהי מכירה אשמח שתכתוב לי בפרטי","chunk_012 m:42177","",""
"ד""ר יעל גולדפרב — פסיכולוגית תעסוקתית","אבחון והערכה","פסיכולוגית תעסוקתית","ישראל","18+","נציגות מכללת גל ובכללן ד""ר יעל גולדפרב, פסיכולוגית תעסוקתית המומחית בתחום האוטיזם ועבודה","chunk_018:j:11177","",""
"ד""ר ליטל בר לב – מכון ברוקדייל","אבחון והערכה","חוקרת","ישראל","כל הגילאים","את הנתונים תציג ד""ר ליטל בר לב, חוקרת מומחית בכירה – ראש צוות מוגבלות, מכון ברוקדייל.","chunk_020:j18628","",""
"ד""ר מלצר אילת – הדסה עין כרם","אבחון והערכה","פסיכיאטריה / אבחון ASD","הדסה עין כרם, ירושלים","ילדים ונוער","מישהי שמעה על ד""ר מלצר אילת בהדסה עין כרם ויכולה לומר אם היא מאבחנת גם טובה לבנות בתפקוד גבוה?","chunk_012 m:42344","",""
"ד""ר סיון אקשטיין - כללית התפתחות הילד תלפיות","אבחון והערכה","פסיכולוגית אבחון","תלפיות, ירושלים","ילדים","היא אבחנה את הבת שלי יחד עם ד""ר סיון אקשטיין בכללית התפתחות הילד תלפיות. שתיהן מאוד מקצועיות","chunk_013:m45043","",""
"ד""ר עדה יעל וייסברג","אבחון והערכה","מאבחנת","","all","ד""ר עדה יעל וייסברג [ברשימת 20 המאבחנים]","m:6928","",""
"ד""ר עומר בר יוסף","אבחון והערכה","פסיכיאטריה / נוירולוגיה","ישראל","ילדים","בזמנו עם הבן עזר לנו דר' עומר בר יוסף (הוא לא נותן יותר אבחנות בקליניקה הפרטית, אבל כן תחת איזשהו בית חולים)","chunk_012 m:42275","",""
"ד""ר עינב שולמן","אבחון והערכה","פסיכולוגית מאבחנת","הרצליה","","הגעתי להרצליה קיבלתי אבחון מאוד מרשים ומקצועי. קוראים לה דר' עינב שולמן.","m:23652","",""
"ד""ר פרידנזון שימרית","אבחון והערכה","רופאה/פסיכיאטרית","","all","זה מאמר של ד״ר פרידנזון שימרית מספטמבר 2020","m:6204","",""
"ד""ר שלומית לוי – הדסה","אבחון והערכה","פסיכיאטריה / אבחון ASD","הדסה עין כרם, ירושלים","ילדים","נכנסו לתור בהדסה (לד""ר שלומית לוי) – אבל לא יכלו להגיד מתי התור שלנו...חיכינו חצי שנה","chunk_012 m:42228","",""
"הבית של טלי (טלי וישנו)","אבחון והערכה","אבחון פסיכולוגי","ירושלים","ילדים ומתבגרים","המלצתי אתמול על הבית של טלי, יש לה שם גם אפשרות לאבחון פסיכולוגי","chunk_009:m32785","",""
"הדסה עין כרם - פסיכיאטריה","אבחון והערכה","בית חולים","עין כרם, ירושלים","ילדים","היא אובחנה גם בהדסה עין כרם אצל פסיכיאטרית וגם אצל פסיכולוגית במקום אחר מוכרת","chunk_014:m49633","",""
"הדסה עין כרם — אבחון ASD","אבחון והערכה","אבחון אוטיזם","ירושלים","כל הגילאים","5000 ש""ח זה אבחון מלא בהדסה עין כרם או בסולם, כולל האבחון הנוירו'/פסיכיאטרי","chunk_009:m32621","",""
"הדסה עין כרם — מחלקה נוירו-פסיכולוגית","אבחון והערכה","נוירופסיכולוגיה","ירושלים, עין כרם","בוגרים","למישהו יש הכירות או ניסיון עם המחלקה הנוירו-פסיכולוגית בהדסה עין כרם?","chunk_023 j:30217","",""
"ליאור בן שטרית - פסיכולוגית מאבחנת","אבחון והערכה","פסיכולוגית אבחון","ירושלים","ילדים","ליאור מומלצת מאוד מקצועית ומהממת. היא אבחנה את הבת שלי בכללית התפתחות הילד תלפיות","chunk_013:m45043-m45050","",""
"מחמוד עסאלה","אבחון והערכה","פסיכולוג ביטוח לאומי","ביטוח לאומי","all","הפסיכולוג של ביטוח לאומי מחמוד עסאלה... הוא טען שהילדה לא אוטיסטית אלא עם בעיות רגשיות. כשביקשנו את הפרוטוקול שרשם ראינו בו כמה סתירות","m:8209","",""
"מיכל אלטמן","אבחון והערכה","פסיכולוגית התפתחותית","","3-12","מיכל אלטמן פסיכולוגית התפתחותית","m:6957","",""
"מכון סולם","אבחון והערכה","אבחון אוטיזם","ישראל","כל הגילאים","5000 ש""ח זה אבחון מלא בהדסה עין כרם או בסולם, כולל האבחון הנוירו'/פסיכיאטרי","chunk_009:m32621","",""
"מכון שרל פאול פוקס","אבחון והערכה","מכון אבחון","ישראל","ילדים ונוער","במכון של שרל פאול פוקס יש גם נוירולוג שיכול לחתום על אבחון התקשורת של פוקס?","chunk_012 m:42170","",""
"מרים שריקי","אבחון והערכה","מאבחנת התפתחותית (גן — כיתות א-ב)","ירושלים","3-8","מרים שריקי לא זכורה לי לטובה... טראומה ממנה... מרים שריקי לא האמינה שהבת שלי אוטיסטית... לעומת זאת, ד״ר שולמן זיהתה את הלקות תקשורת בדקות","m:856","",""
"מרכז התפתחות הילד – כנפי נשרים","אבחון והערכה","מרכז התפתחות הילד","כנפי נשרים, ירושלים","פעוטות וילדים","בעבר היתה מקבלת בהתפתחות הילד בכנפי נשרים","chunk_012 m:42957","",""
"נעמה גרינוולד","אבחון והערכה","פסיכולוגית מאבחנת","ירושלים, ארנונה","all","נעמה גרינוולד מקבלתת בארנונה בדרום ירושלים. לבת שלי לא היתה כימיה איתה. לא אומר שלאחרים לא תהיה","m:6957","",""
"נעמה קרויזר – נוירופסיכולוגית","אבחון והערכה","נוירופסיכולוגיה","ישראל","ילדים ונוער","נוירופסיכולוגית טובה נעמה קרויזר","chunk_012 m:42136","",""
"עדי קריף נבון — אבחון דידקטי","אבחון והערכה","מאבחנת דידקטית","ירושלים","ילדים ונוער","ממליצה על אבחון דידקטי בנוסף לאוטיזם... עשינו אצל חברת הקבוצה פה עדי קריף נבון","chunk_015:m:52616","",""
"פרופ' חנוך קסוטו — וריאייטי ירושלים","אבחון והערכה","מאבחן אוטיזם","ירושלים (וריאייטי)","ילדים ומבוגרים","לא באזור המרכז, אבל מומחה באיבחון גבוליים ולא רק — פרופ' חנוך קסוטו, ווראייטי ירושלים","chunk_016:j:3297","",""
"רחלי רוזן אלמוג — מאבחנת אוטיזם","אבחון והערכה","מאבחנת אוטיזם למבוגרים","לא צוין","מבוגרים","ממליצה על רחלי רוזן אלמוג לאבחון אוטיזם - מבוגרים","chunk_010:m35820","",""
"רעיה (התאמות ובגרות)","אבחון והערכה","מאבחנת — התאמות בבגרות","","12-18","לנו רעיה דווקא עזרה ברשימת ההתאמות שרשמה שהילדה צריכה... נחשבת האמת אחת הכי טובות. לגבי הנושא של אמפתיה- מן הסתם בגלל זה היא לא פנתה לתחום הטיפולי אלה לתחום האבחוני","m:9996","",""
"רעיה ורטמן","אבחון והערכה","נוירופסיכולוגית","ירושלים","לא צוין","נוירופסיכולגית רעיה ורטמן. היא פסיכולוגית, לא נירולוגית. מעל גיל 18 חייבים פסיכיאטר - המלצותיה אינן מתקבלות.","chunk_022:j:26274","",""
"צמי""ד ירושלים – מחלקת פנאי","שירותים לבוגרים","פנאי ותרבות / מסגרת תמיכה ופנאי לבוגרים עם מוגבלות / קהילת הורים","ירושלים","בוגרים 18+ / 18+ / כל הגילאים","בשעה טובה הקורס ישומי מחשב יוצא לדרך... ממש חשוב שצמי""ד ירושלים יראה שיש דרישה לפעילויות פנאי עבורם.","chunk_011 m:39303","",""
"תוכנית Tech4All – אמדוקס","שירותים לבוגרים","תוכנית תעסוקה טכנולוגית / תעסוקה מוגנת / כניסה להייטק","ישראל / אמדוקס ישראל","בוגרים / 18+","תוכנית Tech4All נועדה לסייע בהסרת חסמי כניסה להייטק עבור אנשים עם מוגבלות, דרך צבירת ידע וניסיון תעסוקתי","chunk_020:j18197,j18200","",""
"אודי הלר — התוכנית הלאומית לקידום אוטיסטים בצה""ל","שירותים לבוגרים","פעיל חברתי — תוכנית קידום בצה""ל","","18+","אלו""ט, בשיתוף פעולה עם הפעיל החברתי אודי הלר, מזמינה בוגרים עם אוטיזם למלא סקר צרכים עבור כרטיס 'אזרח/ית עם אוטיזם'!","m:4790","",""
"בית אקשטיין","שירותים לבוגרים","תעסוקה מוגנת","מרכז הארץ (כמעט לא פעיל ירושלים)","בוגרים","ממליצה בית אקשטיין הבן שלי עובד דרך עמותה הזאת כבר הרבה שנים; בית אקשטיין מצוין במרכז הארץ. כמעט לא פעילים ירושלים","chunk_016:j:2175","",""
"בת-עמי - שירות לאומי מחלקה לצרכים מיוחדים","שירותים לבוגרים","שירות לאומי","ירושלים (מרכז חיבא)","18+","יש כאן עוד הורים של בנות בשירות לאומי עם המחלקה לצרכים מיוחדים של בת-עמי?","chunk_013:m45214","",""
"המרכז לחיים עצמאיים","שירותים לבוגרים","מרכז פנאי ומיומנויות","ירושלים","בוגרים","המרכז לחיים עצמאיים מזמין אתכם לשבוע חשיפה לתוכנית חורף תשפ""ד... תיאטרון פסיק, יוגה, כתיבה יוצרת, ספורט מונגש, אפיה ובישול, הגנה עצמית.","chunk_019:j15427","",""
"חוברים","שירותים לבוגרים","קבוצות חברתיות","ירושלים ועוד (חיפה, אשדוד, כפר סבא, רעננה, ראש העין, אלקנה, צור יגאל)","15-19 ו-20+","קבוצת חוברים מגיעה לירושלים! קבוצות חברתיות לנוער (גילאי 15-19) ולבוגרים (גילאי 20+) בירושלים, רחוב סן מרטין 5","chunk_016:j:3046","",""
"מורי נהיגה לצעירים על הרצף — ירושלים","שירותים לבוגרים","נהיגה","ירושלים","בוגרים צעירים","מורה נהיגה זאב מצויין לצעירים על הרצף מומלץ; רויטל מורה נהיגה לצעירים על הרצף; תרשישה מורה נהיגה מומלצת מאד לצעירים על הרצף מלמדת בנות; זיו — מורה לנהיגה לחברה עם אוטיזם איזור ירושלים","chunk_024 j:35315-35322","",""
"מכון חיבו""ק — הכשרה לתעסוקה לאוטיסטים","שירותים לבוגרים","הכשרה לקריירה ותעסוקה","ישראל","21+","מדובר על הקמת מכון חיבו""ק, מכון לאומי להכשרה לקריירה ולתעסוקה עבור בוגרים על הספקטרום האוטיסטי. אנחנו מתכננים האקתון ב-25/8","chunk_017:j:6953","",""
"מכינה לחיים מיולי – הדספייס","שירותים לבוגרים","מכינה לחיים עצמאיים","ישראל","נוער ובוגרים צעירים","לא מוותרת. הוועדה האחרונה הבן ממש לא היה מוכן לשתף פעולה... הלכנו לנורולוג פרטי 4000 שקל, פסיכיאטר פרטי... ועוד 7000 שקל לעו""ד.","chunk_019:j14482-14483","",""
"מכללות תעסוקתיות","שירותים לבוגרים","הכשרה מקצועית","ארצי","צעירים ובוגרים","נוספו מכללות תעסוקתיות נוספות. כך שכיום השירות בפריסה ארצית. מטרת השירות להכין צעירים וצעירות לעולם התעסוקה","chunk_023 j:29933","",""
"מרכז הזדמנויות ירושלים","שירותים לבוגרים","מרכז שיקום ותעסוקה","ירושלים","בוגרים","תפני למרכז הזדמנויות ירושלים","chunk_011 m:39096","",""
"מרכז לחיים עצמאיים — ירושלים","שירותים לבוגרים","מרכז לחיים עצמאיים ופנאי","ירושלים, רחוב סן מרטין 5","18-55","בירושלים יש גם מרכז לחיים עצמאיים. כדי לקדם את הנושא אשמח להורים נוספים שיעזרו להרים את הפרויקט","chunk_017:j:6259","",""
"ניסן נתיב","שירותים לבוגרים","תוכנית שיקומית/מגורים","ירושלים ויפו","בוגרים צעירים","עד כמה שאני יודעת ניסן נתיב, בירושלים. פותחו השנה מסלול דומה גם בירושלים.","chunk_020:j18689,j18690","",""
"עמות שיח סוד","שירותים לבוגרים","דיור חרדי / דתי לבוגרים","ישראל","18+","התקשרתי לשיח סוד. כנראה הוא לא יסכים למקום חרדי. אולי מכירים מקומות דתיים?","chunk_021:j:23066","",""
"עמותת רעות","שירותים לבוגרים","ליווי תעסוקתי","ארצי","בוגרים","לנו עזרו עמותה שכולו טוב ועמותת רעות","chunk_023 j:30427","",""
"ענבר — קבוצות זוגיות לאנשים על הרצף","שירותים לבוגרים","קבוצות לזוגיות והיכרויות","תל אביב, נתניה, ירושלים (אחרי פסח 2023)","18+","ב""ה אנחנו פותחים קבוצה לזוגיות (מטעם ענבר) בירושלים אחרי פסח! מקווה מאוד שתגענה בנות לקבוצה","chunk_018:j:10705","",""
"צמי""ד ירושלים","שירותים לבוגרים","שירות עירוני לאנשים עם מוגבלות","ירושלים","18+","הצלחתי לקדם באופן משמעותי יחד עם צמי""ד ירושלים מטעם העיריה, פתיחת קורס יישומי מחשב עבור הבוגרים שלנו.","chunk_022:j:26239","",""
"קבוצת הכנה להיכרויות 'רעים' — מינהל קהילתי גינות העיר","שירותים לבוגרים","קבוצת מיומנויות חברתיות","גינות העיר, ירושלים","מבוגרים","רעים פותחת קבוצה להכנה להיכרויות. מיועדת לא.נשים עם רקע של לקויות תקשורת בתפקוד גבוה. ימי חמישי, 19:00-20:30. מינהל קהילתי גינות העיר.","m:24110","",""
"רואים רחוק — יחידה צבאית לאוטיסטים","שירותים לבוגרים","שירות צבאי / לאומי","קרית אונו (קורסים)","בוגרים 18-26","ברואים רחוק הציעו 4 תפקידים: פענוח תצלומי אוויר, תכנות, מידענות ואלקטרואופטיקה... קורסים בין 3-4 חודשים בקרית אונו ולאחר מכן שיבוצים ביחידה","chunk_024 j:34029","",""
"שק""ל – מרכז שיקום ירושלים","שירותים לבוגרים","שיקום","ירושלים","בוגרים","צוות שק""ל","chunk_011 m:39124","",""
"תוכנית אשנב – מכללת הדסה","שירותים לבוגרים","תוכנית טרום שיקום לנפשי","ירושלים – מכללת הדסה","בוגרים","אם נפשי אז אפשר תוכנית אשנב במכללת הדסה בירושלים... מותאם ספציפית לנפשי עם תוספת הכנה ללימודים גבוהים.","chunk_019:j14291,j14554","",""
"תוכנית טל – מכון גל","שירותים לבוגרים","תוכנית טרום שיקום לאוטיסטים","ירושלים – מכון גל","בוגרים (18+)","תוכנית טל מותאמת ספציפי לספקטרום. אם אוטיזם אפשר תוכנית טל במכון גל בירושלים.","chunk_019:j14556,j14291","",""
"תוכנית מגמה לעתיד","שירותים לבוגרים","תוכנית המשך לחינוך מיוחד","","18-21","תכנית מגמה לעתיד הינה תכנית המשך לתלמידים המסיימים י""ב בחינוך המיוחד... 3 שנים המכשירה לחיים עצמאים ובסופה מקבלים הסמכה טכנולוגית בתקשוב ניהול רשתות מחשבים","m:17325","",""
"תוכנית תתקדמו","שירותים לבוגרים","גיוס צבאי מותאם","ארצי - צה""ל","18-21 (גיל גיוס)","10 חיילים, 8 בנים ו-2 בנות, עם אוטיזם, סיימו תוך שנה וחצי את בה""ד 1 הודות לתוכנית 'תתקדמו'.","chunk_021:j:23382","",""
"תיירות נגישה — יד שרה","שירותים לבוגרים","נגישות ותיירות","ארצי","כל הגילאים","תיירות נגישה מבית יד שרה מעמידה לרשותכם מעטפת לוגיסטית ורפואית מלאה, המותאמת אישית לצרכים שלכם","chunk_024 j:35284","",""
"תעסוקה שווה","שירותים לבוגרים","תעסוקה","ישראל","בוגרים","ממליצה לחפש דרך 'תעסוקה שווה'","chunk_011 m:39090","",""
"מחלקת צמי""ד — עיריית ירושלים","זכויות ורווחה","מחלקה עירונית / שירותי רווחה עירוניים","ירושלים / ירושלים (שכונות שונות)","כל הגילאים / ילדים ומשפחות","מחלקת צמי""ד בעיירית ירושלים מעוניינת לדעת אילו מענים תרצו שיהיו עבורכם בתחום הפנאי בעיר","chunk_015:m:52394","",""
"גילי פארן – תכנון פיננסי","זכויות ורווחה","יועץ פיננסי","לא מפורט","כל הגילאים","יש קבוצה של הורים לילדים עם מוגבלויות שמנהל אותה גילי פארן, יועץ פיננסי. מדי פעם הם עושים פגישות זום להורים להסבר והדרכה.","chunk_020:j17977,j17985","",""
"המרכז למיצוי זכויות — לשכת רווחה מערב","זכויות ורווחה","מיצוי זכויות","ירושלים, לשכה מערב","כל הגילאים","בלשכה מערב יש את המרכז למיצוי זכויות שאני חושבת שעובדים גם באוגוסט.","m:18099","",""
"הקליניקה המשפטית של מכללת אונו","זכויות ורווחה","ייעוץ משפטי חינמי","הקריה האקדמית אונו","all","הקליניקה המשפטית של מכללת אונו נותנת את השירות בחינם להורים כשהמרכז למשפחה של אלו""ט עושה את הקישור","m:6127","",""
"ועדת דותן","זכויות ורווחה","ועדה ממשלתית","ממשלתי","כל הגילאים","ועדת דותן שקבעה לפני שנה שנדרש בטווח של חמש שנים לסגור את כל ההוסטלים.","chunk_021:j:23112","",""
"לשכת שיקום — משרד הרווחה","זכויות ורווחה","שירותי שיקום ממשלתיים","ירושלים וארצי","18+","מצרפת הזמנה לערב עם עו""סיות מלשכת שיקום בנושא זכויות לאחר גיל 18","chunk_017:j:5778","",""
"מנהל מוגבלויות","זכויות ורווחה","דיור ושירותים","ארצי","בוגרים (18+)","מדובר באחד השירותים הבודדים שמנהל מוגבלויות נותן ללא השתתפות כספית של האדם","chunk_023 j:30264","",""
"מרכז מיצוי זכויות – תחנת רווחה שיקום דרום","זכויות ורווחה","מרכז מיצוי זכויות","ירושלים – דרום","כל הגילאים","אני מציעה להפעיל את עו""ס של מרכז מיצוי זכויות בתחנת רווחה שיקום דרום.","chunk_019:j14258","",""
"עו""ד דורון בורשטיין","זכויות ורווחה","עורך דין","אפרת","בוגרים","עו""ד דורון בורשטיין תושב אפרת וגם אבא לילד צמי""ד על הספקטרום – הוא בעל מומחיות גבוהה ונסיון רב מאד בכל ענייני הנדלן, הירושות, הקניין, מס הכנסה.","chunk_019:j14440","",""
"עו""ד דיאנה בארון (אלו""ט)","זכויות ורווחה","עו""ד אלו""ט — חינוך","אלוט","all","עו""ד דיאנה בארון, אחראית תחום חינוך באגף לקידום זכויות, חטיבת קהילה באלו""ט","m:528","",""
"עו""ד דיאנה — אלו""ט","זכויות ורווחה","ייעוץ משפטי","ישראל","בוגרים ומשפחות","תבקשי באלוט מישהי בשם דיאנה.. היא עורכת דין וכן מקצועית ומקסימה.","m:28718","",""
"עו""ד רחל בן עזרא","זכויות ורווחה","עורכת דין","לא צוין","בוגרים","עוד רחל בן עזרא [מוזכרת כחלופה עם מחירים צנועים]","chunk_015:m:52510","",""
"עו""ד רחל סגל — עמותת קשר","זכויות ורווחה","ייעוץ משפטי","ירושלים","ילדים ומשפחות","עו""ד רחל סגל, מנהלת מרכז סיוע ומיצוי זכויות בעמותת קשר — הבית של המשפחות המיוחדות.","m:29459","",""
"שפ""י - שירות פסיכולוגי-ייעוצי משרד החינוך","זכויות ורווחה","שירות חינוכי","ארצי","ילדים ונוער","מוקד משרד החינוך – שפ""י: ניתן לפנות ליועצת או פסיכולוג/ית בית הספר. במצבים דחופים, יש הפניה מהירה","chunk_013:m46187","",""
"אלי""ן — הדרכת שחייה","קייטנות ופנאי","הדרכת שחייה מותאמת","ירושלים","","שחיה - ההדרכה באלי""ן טובה ומותאמת לספקטרום","chunk_017:j:7024","",""
"בית האמנים ברחובות — קבוצת אמנות לנוער על הרצף","קייטנות ופנאי","קבוצת אמנות לנוער על הרצף","רחובות","12-18","בבית האמנים ברחובות, מתוכננת להתחיל קבוצה ייחודית וקטנה לנערים ונערות בחטיבת הביניים, בתפקוד גבוהה, על הרצף","m:10872","",""
"היכל פיס לתרבות ולאמנויות – פסגת זאב","קייטנות ופנאי","מרכז תרבות","ירושלים – רחוב עמנואל מורנו 22, פסגת זאב","כל הגילאים","יש לי זוג כרטיסים להצגה מומלצת מאוד: 'איך יוצאים מכאן' (בנושא התמודדות על הרצף), מחר 19/02/2024 בשעה 11:30 בהיכל פיס לתרבות ולאמנויות, פסגת זאב.","chunk_020:j18945","",""
"חוג אומנות במוזיאון ישראל — נוער על הרצף","קייטנות ופנאי","חוג אומנות","מוזיאון ישראל, ירושלים","12-18","חוג אומנות במוזיאון ישראל לבני נוער על הרצף, בימי רביעי 17:00-19:00, כיתות ז-יב. עלות שנתית 850 ש""ח.","m:19263, m:20025","",""
"חוגי מוזיאון ישראל","קייטנות ופנאי","חוגים למשתלבים","ירושלים","6-18","פעם היה אופק צעירים ובוטל. ממליצה מאוד על החוגים של מוזיאון ישראל","m:13423","",""
"חוות הנוער — כלביה טיפולית","קייטנות ופנאי","טיפול בעזרת בעלי חיים","ירושלים (לא רמות)","ילדים ונוער","יש בחוות הנוער כלביה טיפולית נחמדה. אבל זה לא רמות.","m:18762","",""
"כנפיים של קרמבו","קייטנות ופנאי","תנועת נוער","ירושלים (בקעה, סניפים נוספים)","נוער","יש פעילות של כנפיים של קרמבו באחד הסניפים בימי שני. הבת שלי נמצאת בסניף שהפעולה בו היא ברביעי, נראה לי הסניף בבקעה","chunk_015:m:53016","",""
"להקת ויסות חושי","קייטנות ופנאי","להקה מוזיקלית לאנשים על הרצף","מת""נ נווה עופר תל אביב / הופעות ירושלים","מגוון","להקת ויסות חושי מורכבת מנגנים על הרצף האוטיסטי, צרכים מיוחדים וכאלה שלא. ההופעה הקרובה בנוקטורנו ירושלים בספטמבר.","chunk_021:j:22443","",""
"נופשון שכולו טוב שומר שבת","קייטנות ופנאי","נופשון שומר שבת","","all","אירגון שכולו טוב מארגן בדרך כלל נופשונים ללא שמירת שבת. הפעם הם עושים נופשון שומר שבת... ממליצה בחום","m:6709","",""
"עוטפים באהבה — ירושלים","קייטנות ופנאי","ארגון פנאי ואירועים","ירושלים","","שמחים להזמינכם למסיבת ט""ו בשבט של 'עוטפים באהבה'. ליאת אהרוני וצוות עוטפים באהבה י-ם","chunk_018:j:10101","",""
"עין יעל — רכיבה טיפולית","קייטנות ופנאי","רכיבה טיפולית","ירושלים","ילדים ומתבגרים","האם מישהי מכירה מקום לרכיבה טיפולית בנוסף לעין יעל.","m:30145","",""
"קבוצת בוגרים ובוגרות על הרצף — ענת אלפי גולדשטיין","קייטנות ופנאי","קבוצה חברתית","ירושלים","בוגרים (21+)","אנחנו מספר אמהות מתנדבות שהקמנו קבוצת בוגרים ובוגרות על הרצף כדי להניע מפגשים חברתיים (ללא פן טיפולי) וליצור קבוצות שווים","chunk_023 j:29757","",""
"שק""ל - ניסן נתיב","קייטנות ופנאי","לימודי תיאטרון מותאמים","ירושלים","18+","ניסן נתיב – מסלול לימודי משחק של שנתיים בקבוצה ייחודית לבעלי מוגבלויות.","chunk_022:j:26780","",""
"תיאטרון נורית קציר","קייטנות ופנאי","תיאטרון וביטוי","ירושלים","בוגרים","הקבוצה נפלאה! התיאטרון נהדר מומלץ בחום, בני אסף רק מחכה לחזור לפעילות","chunk_024 j:31159","",""
"Di-Store - חנות אביזרי ויסות חושי","ציוד ועזרים","אביזרי ויסות חושי וריפוי בעיסוק","ישראל","ילדים ומבוגרים","מי שנרשמת מקבל קוד קופון לחנות די-סטור של שרון כץ, חנות של אביזרים לויסות חושי וריפוי בעיסוק","chunk_013:m45353","",""
"בנק כפיר – רב קו לנכים","ציוד ועזרים","כרטיס נסיעה מוזל","ארצי","כל הגילאים","כדי לקבל הנחה של 50 אחוז כנכה צריך להציג בכפיר/רב קו תעודת נכה + תעודת זהות + ספח ואז הם משנים את הפרופיל בהתאם.","chunk_019:j15008","",""
"חנות אייזלר — ירושלים","ציוד ועזרים","חנות נעליים","ליד השוק, ירושלים","ילדים","יש ליד השוק בירושלים חנות בשם אייזלר. כדאי לבוא עם הפניה","chunk_015:m:52826","",""
"יעל ברקן – שמיכות כובד","ציוד ועזרים","שמיכות כובד","ישראל","כל הגילאים","הסיבה שאני ממליצה על יעל ברקן היא שהשמיכות שלה ללא מילוי נוסף, וזה אומר שאפשר להתכסות גם בקיץ בלי למות מחום.","chunk_011 m:39651","",""
"ליסה — מכון מדרסים בית שמש","ציוד ועזרים","מדרסים ואורתופדיה","בית שמש","ילדים ונוער","ממליצה על מכון מדרסים בבית שמש של ליסה. א.אורתופדיה, היא לא מוכרת נעליים אלא מתאימה מדרסים","chunk_015:m:52825","",""
"מודיל — מיטות מותאמות","ציוד ועזרים","יצרן מיטות מותאמות","","all","מאווווווד ממליצה על מודיל. מיטה מותאמת למשקלים גבוהים יש גם סולם וגם דיקט עבה... השירות נפלא והמחירים גם טובים","m:15265","",""
"מזרני ירושלים / רהיטי אפריון","ציוד ועזרים","מזרנים ורהיטים","ירושלים","all","ממליצה על 'מזרני ירושלים' שנקראים גם 'רהיטי אפריון' ממש בין אלקטרוסליל ובין הכל לפנאי","m:15254","",""
"נומימי — שמיכות כבדות","ציוד ועזרים","שמיכות כבדות לוויסות חושי","","all","יש בנומימי משקל 11 ו13 קילו, ה13 עולה 600 ש""ח","m:5923","",""
"ד""ר אלכס גולדשטיין","אבחון והערכה","פסיכיאטר מבוגרים","חיפה / כרמיאל / משגב / הקריות","18+","אבחון הפרעה על הרצף האוטיסטי במבוגרים + ADHD","web-research: perplexity sonar-pro","",""
"צומת לב — מרכז לאבחון וטיפול רגשי","אבחון והערכה","מרכז רב-תחומי","חיפה","כל הגילאים","אבחונים ADHD, פסיכודידקטי, אוטיזם, דידקטי, MOXO","web-research: perplexity sonar-pro","",""
